plant,recording_date,min_width,avg_width,max_width,min_height,avg_height,max_height,min_biomass,avg_biomass,max_biomass,avg_solidity,avg_convex_hull_area,avg_longest_path,avg_center_of_mass_x,avg_center_of_mass_y
-,dd/mm/yyyy,mm,mm,mm,mm,mm,mm,cm2,cm2,cm2,-,cm2,mm,pixels,pixels
NPEC51.VTC3.AA10.Merlice.Mer_boh6.0,2021-09-29,6.9944133329,58.3867,246.4721,9.481823508516667,59.42666666666668,270.0199166666667,11.6348420593,60.6152,283.0195,1305.905436743212,3305.1529030596016,31.14146161566666,1775.5945166666668,0.30701517321052635
NPEC51.VTC3.AA10.Merlice.Mer_boh6.0,2021-10-03,16.746067706999998,79.7803,246.9178,17.732026379033332,86.83721666666666,270.61418333333336,19.1417684964,91.3685,283.0195,1305.6985434229807,3297.6238512876175,75.38975060153332,1767.2747833333333,0.23706455075165947
NPEC51.VTC3.AA10.Merlice.Mer_boh6.0,2021-10-09,54.36810522809999,141.2869,246.9178,61.050640431699996,155.40073333333333,272.3227,68.752242389,166.24609999999996,291.4878,1305.6607416136817,3245.5802458318717,224.74030699986668,1824.3986666666667,0.27391441410528117
NPEC51.VTC3.AA10.Merlice.Mer_boh6.0,2021-10-11,74.88849424509998,212.5989,246.9178,89.1951584949,222.70143333333337,273.3626666666666,97.5423680447,238.4495,301.7389,1305.4682596856721,3186.7737078641026,421.6774402585166,2206.7349833333333,0.21431276381951236
NPEC51.VTC3.AA10.Merlice.Mer_boh6.0,2021-10-15,188.42007924990003,239.7866,282.1281,212.02481715496666,247.28921666666668,318.9726333333333,247.2895592614,260.2888,380.6278,1301.9637548441162,3088.6629451015165,617.7151924786916,2595.013966666667,0.34646801493957763
NPEC51.VTC3.AA10.Merlice.Mer_boh6.0,2021-10-17,283.9362326966,277.6711,321.7954,301.7169279556833,282.2766666666667,387.8332833333334,315.13596453599996,286.5851,453.2769,1303.8703700456033,3022.1063627176663,845.9500574984751,2729.7639333333336,0.36224290090187866
NPEC51.VTC3.AA10.Merlice.Mer_boh6.0,2021-10-20,441.06520180169997,396.2273,428.3177,494.24697824752,398.63408,511.03962,594.4138901421,400.6843,545.0911,1306.1470997205483,2845.417395807062,1516.8157061777297,3557.1317000000004,0.32720601596711024
NPEC51.VTC3.AA10.Merlice.Mer_boh6.0,2021-10-23,679.3023493738,471.1049,419.4037,712.7630321102165,474.0019500000001,490.9385499999999,746.0383095892997,476.4533,592.3353,1304.2096939808596,2748.5712855163397,1687.8117635323413,3729.246183333333,0.4237207199517053
NPEC51.VTC3.AA10.Merlice.Mer_boh6.0,2021-10-26,837.7563039071998,570.9417,531.7201,899.4628154367166,571.4616833333333,582.1584833333333,989.2376964416001,572.2787999999998,643.1451,1304.9401885768063,2665.4756991056433,2264.535674559125,4095.7601500000005,0.3970101298873143
NPEC51.VTC3.AA10.Merlice.Mer_boh6.0,2021-11-01,1259.3440212644,839.2531,615.5117,1362.2691012264665,842.3729999999999,699.1547333333333,1410.6049139749,844.6015,841.0359,1307.9318043842586,2479.856480128223,3778.8597658348667,6152.814216666667,0.36172833653508024
